start_id,step_id,candidate_id,x,y,yaw,valid,information_gain,path_cost,score
0,0,0,-3.3,-3.0,0.0,True,70,1.5,67.0
0,0,1,-3.3511,-2.6118,0.2618,True,80,1.5,77.0
0,0,2,-3.501,-2.25,0.5236,True,98,1.5,95.0
0,0,3,-3.7393,-1.9393,0.7854,True,111,1.5,108.0
0,0,4,-4.05,-1.701,1.0472,True,119,1.5,116.0
0,0,5,-4.4118,-1.5511,1.309,True,112,1.5,109.0
0,0,6,-4.8,-1.5,1.5708,True,97,1.5,94.0
0,0,7,-5.1882,-1.5511,1.8326,True,72,1.5,69.0
0,0,8,-5.55,-1.701,2.0944,True,50,1.5,47.0
0,0,9,-5.8607,-1.9393,2.3562,True,30,1.5,27.0
0,0,10,-6.099,-2.25,2.618,False,0,1.5,-9999.0
0,0,11,-6.2489,-2.6118,2.8798,False,0,1.5,-9999.0
0,0,12,-6.3,-3.0,3.1416,False,0,1.5,-9999.0
0,0,13,-6.2489,-3.3882,3.4034,False,0,1.5,-9999.0
0,0,14,-6.099,-3.75,3.6652,False,0,1.5,-9999.0
0,0,15,-5.8607,-4.0607,3.927,False,0,1.5,-9999.0
0,0,16,-5.55,-4.299,4.1888,False,0,1.5,-9999.0
0,0,17,-5.1882,-4.4489,4.4506,False,0,1.5,-9999.0
0,0,18,-4.8,-4.5,4.7124,False,0,1.5,-9999.0
0,0,19,-4.4118,-4.4489,4.9742,False,0,1.5,-9999.0
0,0,20,-4.05,-4.299,5.236,False,0,1.5,-9999.0
0,0,21,-3.7393,-4.0607,5.4978,False,0,1.5,-9999.0
0,0,22,-3.501,-3.75,5.7596,True,44,1.5,41.0
0,0,23,-3.3511,-3.3882,6.0214,True,57,1.5,54.0
0,1,0,-2.55,-1.701,0.0,True,17,1.5,14.0
0,1,1,-2.6011,-1.3128,0.2618,True,23,1.5,20.0
0,1,2,-2.751,-0.951,0.5236,True,32,1.5,29.0
0,1,3,-2.9893,-0.6403,0.7854,True,57,1.5,54.0
0,1,4,-3.3,-0.402,1.0472,True,77,1.5,74.0
0,1,5,-3.6618,-0.2521,1.309,True,97,1.5,94.0
0,1,6,-4.05,-0.201,1.5708,True,102,1.5,99.0
0,1,7,-4.4382,-0.2521,1.8326,True,92,1.5,89.0
0,1,8,-4.8,-0.402,2.0944,True,70,1.5,67.0
0,1,9,-5.1107,-0.6403,2.3562,True,46,1.5,43.0
0,1,10,-5.349,-0.951,2.618,True,28,1.5,25.0
0,1,11,-5.4989,-1.3128,2.8798,True,12,1.5,9.0
0,1,12,-5.55,-1.701,3.1416,True,6,1.5,3.0
0,1,13,-5.4989,-2.0892,3.4034,True,0,1.5,-3.0
0,1,14,-5.349,-2.451,3.6652,True,0,1.5,-3.0
0,1,15,-5.1107,-2.7617,3.927,True,0,1.5,-3.0
0,1,16,-4.8,-3.0,4.1888,True,0,1.5,-3.0
0,1,17,-4.4382,-3.1499,4.4506,True,3,1.5,0.0
0,1,18,-4.05,-3.201,4.7124,True,9,1.5,6.0
0,1,19,-3.6618,-3.1499,4.9742,True,21,1.5,18.0
0,1,20,-3.3,-3.0,5.236,True,29,1.5,26.0
0,1,21,-2.9893,-2.7617,5.4978,True,40,1.5,37.0
0,1,22,-2.751,-2.451,5.7596,True,34,1.5,31.0
0,1,23,-2.6011,-2.0892,6.0214,True,22,1.5,19.0
0,2,0,-2.55,-0.201,0.0,True,8,1.5,5.0
0,2,1,-2.6011,0.1872,0.2618,True,18,1.5,15.0
0,2,2,-2.751,0.549,0.5236,True,33,1.5,30.0
0,2,3,-2.9893,0.8597,0.7854,True,61,1.5,58.0
0,2,4,-3.3,1.098,1.0472,True,79,1.5,76.0
0,2,5,-3.6618,1.2479,1.309,True,100,1.5,97.0
0,2,6,-4.05,1.299,1.5708,True,103,1.5,100.0
0,2,7,-4.4382,1.2479,1.8326,True,92,1.5,89.0
0,2,8,-4.8,1.098,2.0944,True,70,1.5,67.0
0,2,9,-5.1107,0.8597,2.3562,True,46,1.5,43.0
0,2,10,-5.349,0.549,2.618,True,28,1.5,25.0
0,2,11,-5.4989,0.1872,2.8798,True,12,1.5,9.0
0,2,12,-5.55,-0.201,3.1416,True,6,1.5,3.0
0,2,13,-5.4989,-0.5892,3.4034,True,0,1.5,-3.0
0,2,14,-5.349,-0.951,3.6652,True,0,1.5,-3.0
0,2,15,-5.1107,-1.2617,3.927,True,0,1.5,-3.0
0,2,16,-4.8,-1.5,4.1888,True,0,1.5,-3.0
0,2,17,-4.4382,-1.6499,4.4506,True,0,1.5,-3.0
0,2,18,-4.05,-1.701,4.7124,True,0,1.5,-3.0
0,2,19,-3.6618,-1.6499,4.9742,True,5,1.5,2.0
0,2,20,-3.3,-1.5,5.236,True,6,1.5,3.0
0,2,21,-2.9893,-1.2617,5.4978,True,6,1.5,3.0
0,2,22,-2.751,-0.951,5.7596,True,1,1.5,-2.0
0,2,23,-2.6011,-0.5892,6.0214,True,5,1.5,2.0
0,3,0,-2.55,1.299,0.0,True,14,1.5,11.0
0,3,1,-2.6011,1.6872,0.2618,True,23,1.5,20.0
0,3,2,-2.751,2.049,0.5236,True,31,1.5,28.0
0,3,3,-2.9893,2.3597,0.7854,True,45,1.5,42.0
0,3,4,-3.3,2.598,1.0472,True,40,1.5,37.0
0,3,5,-3.6618,2.7479,1.309,True,34,1.5,31.0
0,3,6,-4.05,2.799,1.5708,True,26,1.5,23.0
0,3,7,-4.4382,2.7479,1.8326,True,19,1.5,16.0
0,3,8,-4.8,2.598,2.0944,True,13,1.5,10.0
0,3,9,-5.1107,2.3597,2.3562,True,8,1.5,5.0
0,3,10,-5.349,2.049,2.618,True,6,1.5,3.0
0,3,11,-5.4989,1.6872,2.8798,True,6,1.5,3.0
0,3,12,-5.55,1.299,3.1416,True,6,1.5,3.0
0,3,13,-5.4989,0.9108,3.4034,True,0,1.5,-3.0
0,3,14,-5.349,0.549,3.6652,True,0,1.5,-3.0
0,3,15,-5.1107,0.2383,3.927,True,0,1.5,-3.0
0,3,16,-4.8,-0.0,4.1888,True,0,1.5,-3.0
0,3,17,-4.4382,-0.1499,4.4506,True,0,1.5,-3.0
0,3,18,-4.05,-0.201,4.7124,True,0,1.5,-3.0
0,3,19,-3.6618,-0.1499,4.9742,True,0,1.5,-3.0
0,3,20,-3.3,-0.0,5.236,True,0,1.5,-3.0
0,3,21,-2.9893,0.2383,5.4978,True,2,1.5,-1.0
0,3,22,-2.751,0.549,5.7596,True,0,1.5,-3.0
0,3,23,-2.6011,0.9108,6.0214,True,8,1.5,5.0
0,4,0,-1.4893,2.3597,0.0,False,0,1.5,-9999.0
0,4,1,-1.5404,2.7479,0.2618,True,113,1.5,110.0
0,4,2,-1.6903,3.1097,0.5236,True,97,1.5,94.0
0,4,3,-1.9286,3.4204,0.7854,True,78,1.5,75.0
0,4,4,-2.2393,3.6587,1.0472,True,56,1.5,53.0
0,4,5,-2.6011,3.8086,1.309,True,33,1.5,30.0
0,4,6,-2.9893,3.8597,1.5708,True,17,1.5,14.0
0,4,7,-3.3775,3.8086,1.8326,True,12,1.5,9.0
0,4,8,-3.7393,3.6587,2.0944,True,8,1.5,5.0
0,4,9,-4.05,3.4204,2.3562,True,5,1.5,2.0
0,4,10,-4.2883,3.1097,2.618,True,5,1.5,2.0
0,4,11,-4.4382,2.7479,2.8798,True,7,1.5,4.0
0,4,12,-4.4893,2.3597,3.1416,True,8,1.5,5.0
0,4,13,-4.4382,1.9715,3.4034,True,7,1.5,4.0
0,4,14,-4.2883,1.6097,3.6652,True,6,1.5,3.0
0,4,15,-4.05,1.299,3.927,True,0,1.5,-3.0
0,4,16,-3.7393,1.0607,4.1888,True,0,1.5,-3.0
0,4,17,-3.3775,0.9108,4.4506,True,0,1.5,-3.0
0,4,18,-2.9893,0.8597,4.7124,True,4,1.5,1.0
0,4,19,-2.6011,0.9108,4.9742,True,6,1.5,3.0
0,4,20,-2.2393,1.0607,5.236,True,1,1.5,-2.0
0,4,21,-1.9286,1.299,5.4978,False,0,1.5,-9999.0
0,4,22,-1.6903,1.6097,5.7596,False,0,1.5,-9999.0
0,4,23,-1.5404,1.9715,6.0214,False,0,1.5,-9999.0
0,5,0,-0.0404,2.7479,0.0,True,70,1.5,67.0
0,5,1,-0.0915,3.1361,0.2618,True,65,1.5,62.0
0,5,2,-0.2414,3.4979,0.5236,True,54,1.5,51.0
0,5,3,-0.4797,3.8086,0.7854,True,38,1.5,35.0
0,5,4,-0.7904,4.0469,1.0472,False,0,1.5,-9999.0
0,5,5,-1.1522,4.1968,1.309,False,0,1.5,-9999.0
0,5,6,-1.5404,4.2479,1.5708,False,0,1.5,-9999.0
0,5,7,-1.9286,4.1968,1.8326,False,0,1.5,-9999.0
0,5,8,-2.2904,4.0469,2.0944,False,0,1.5,-9999.0
0,5,9,-2.6011,3.8086,2.3562,True,0,1.5,-3.0
0,5,10,-2.8394,3.4979,2.618,True,1,1.5,-2.0
0,5,11,-2.9893,3.1361,2.8798,True,1,1.5,-2.0
0,5,12,-3.0404,2.7479,3.1416,True,1,1.5,-2.0
0,5,13,-2.9893,2.3597,3.4034,True,0,1.5,-3.0
0,5,14,-2.8394,1.9979,3.6652,False,0,1.5,-9999.0
0,5,15,-2.6011,1.6872,3.927,False,0,1.5,-9999.0
0,5,16,-2.2904,1.4489,4.1888,False,0,1.5,-9999.0
0,5,17,-1.9286,1.299,4.4506,True,53,1.5,50.0
0,5,18,-1.5404,1.2479,4.7124,True,67,1.5,64.0
0,5,19,-1.1522,1.299,4.9742,True,66,1.5,63.0
0,5,20,-0.7904,1.4489,5.236,True,32,1.5,29.0
0,5,21,-0.4797,1.6872,5.4978,False,0,1.5,-9999.0
0,5,22,-0.2414,1.9979,5.7596,True,46,1.5,43.0
0,5,23,-0.0915,2.3597,6.0214,True,62,1.5,59.0
0,6,0,1.4596,2.7479,0.0,True,75,1.5,72.0
0,6,1,1.4085,3.1361,0.2618,True,74,1.5,71.0
0,6,2,1.2586,3.4979,0.5236,True,61,1.5,58.0
0,6,3,1.0203,3.8086,0.7854,True,39,1.5,36.0
0,6,4,0.7096,4.0469,1.0472,False,0,1.5,-9999.0
0,6,5,0.3478,4.1968,1.309,False,0,1.5,-9999.0
0,6,6,-0.0404,4.2479,1.5708,False,0,1.5,-9999.0
0,6,7,-0.4286,4.1968,1.8326,False,0,1.5,-9999.0
0,6,8,-0.7904,4.0469,2.0944,False,0,1.5,-9999.0
0,6,9,-1.1011,3.8086,2.3562,True,0,1.5,-3.0
0,6,10,-1.3394,3.4979,2.618,True,0,1.5,-3.0
0,6,11,-1.4893,3.1361,2.8798,True,0,1.5,-3.0
0,6,12,-1.5404,2.7479,3.1416,True,0,1.5,-3.0
0,6,13,-1.4893,2.3597,3.4034,True,11,1.5,8.0
0,6,14,-1.3394,1.9979,3.6652,True,25,1.5,22.0
0,6,15,-1.1011,1.6872,3.927,True,36,1.5,33.0
0,6,16,-0.7904,1.4489,4.1888,False,0,1.5,-9999.0
0,6,17,-0.4286,1.299,4.4506,False,0,1.5,-9999.0
