start_id,step_rows,action_count,failure_count,final_known_ratio,candidate_rows,coverage_sparkline,known_ratio_monotonic_non_decreasing
0,16,16,0,0.975881,384,..::---=++**###@,True
1,16,15,1,0.964131,384,..::--==++*###@@,True
2,16,15,1,0.935683,384,..:::-==+**###@@,True
3,16,16,0,0.962276,384,..:---==+**####@,True
4,16,16,0,0.972171,384,..::--===+*####@,True
5,11,10,1,0.67718,264,..:-=+*##@@,True
6,16,16,0,0.977118,384,..::--==++*####@,True
7,10,9,1,0.589363,240,.:-=*###@@,True
8,16,15,1,0.930736,384,..::--==+*####@@,True
9,16,15,1,0.962894,384,..::--==++*###@@,True
