start_id,step_id,pose_x,pose_y,selected_candidate_id,selected_x,selected_y,information_gain,score,newly_known_cells,failure,known_free,occupied,unknown,known_ratio
0,0,-4.8,-3.0,4,-4.05,-1.701,119,116.0,119,,293,43,1281,0.2077922077922078
0,1,-4.05,-1.701,6,-4.05,-0.201,102,99.0,102,,383,55,1179,0.27087198515769945
0,2,-4.05,-0.201,6,-4.05,1.299,103,100.0,103,,470,71,1076,0.33457019171304886
0,3,-4.05,1.299,3,-2.9893,2.3597,45,42.0,45,,504,82,1031,0.3623995052566481
0,4,-2.9893,2.3597,1,-1.5404,2.7479,113,110.0,113,,613,86,918,0.4322820037105751
0,5,-1.5404,2.7479,0,-0.0404,2.7479,70,67.0,70,,665,104,848,0.47557204700061845
0,6,-0.0404,2.7479,21,1.0203,1.6872,76,73.0,76,,733,112,772,0.5225726654298083
0,7,1.0203,1.6872,3,2.081,2.7479,131,128.0,131,,860,116,641,0.603586889301175
0,8,2.081,2.7479,22,3.38,1.9979,128,125.0,128,,969,135,513,0.6827458256029685
0,9,3.38,1.9979,19,3.7682,0.549,78,75.0,78,,1033,149,435,0.7309833024118738
0,10,3.7682,0.549,20,4.5182,-0.75,77,74.0,75,,1100,157,360,0.7773654916512059
0,11,4.5182,-0.75,16,3.7682,-2.049,97,94.0,97,,1173,181,263,0.8373531230674088
0,12,3.7682,-2.049,14,2.4692,-2.799,56,53.0,56,,1225,185,207,0.8719851576994434
0,13,2.4692,-2.799,11,1.0203,-2.4108,125,122.0,125,,1343,192,82,0.9492888064316636
0,14,1.0203,-2.4108,10,-0.2787,-1.6608,41,38.0,41,,1375,201,41,0.9746444032158318
0,15,-0.2787,-1.6608,13,-1.7276,-2.049,2,-1.0,2,,1375,203,39,0.9758812615955473
1,0,-4.8,2.8,20,-4.05,1.501,116,113.0,116,,302,43,1272,0.21335807050092764
1,1,-4.05,1.501,18,-4.05,0.001,102,99.0,102,,392,55,1170,0.2764378478664193
1,2,-4.05,0.001,18,-4.05,-1.499,100,97.0,100,,473,74,1070,0.33828076685219544
1,3,-4.05,-1.499,21,-2.9893,-2.5597,42,39.0,42,,508,81,1028,0.3642547928262214
1,4,-2.9893,-2.5597,23,-1.5404,-2.9479,128,125.0,128,,632,85,900,0.44341372912801486
1,5,-1.5404,-2.9479,3,-0.4797,-1.8872,127,124.0,127,,745,99,773,0.5219542362399505
1,6,-0.4797,-1.8872,5,-0.0915,-0.4383,61,58.0,61,,793,112,712,0.559678416821274
1,7,-0.0915,-0.4383,3,0.9692,0.6224,44,41.0,44,,832,117,668,0.5868893011750155
1,8,0.9692,0.6224,6,0.9692,2.1224,117,114.0,117,,932,134,551,0.6592455163883735
1,9,0.9692,2.1224,2,2.2682,2.8724,136,133.0,136,,1065,137,415,0.743351886209029
1,10,2.2682,2.8724,21,3.3289,1.8117,126,123.0,126,,1175,153,289,0.821273964131107
1,11,3.3289,1.8117,20,4.0789,0.5127,72,69.0,72,,1237,163,217,0.8658008658008658
1,12,4.0789,0.5127,19,4.4671,-0.9362,79,76.0,79,,1308,171,138,0.9146567717996289
1,13,4.4671,-0.9362,16,3.7171,-2.2352,75,72.0,75,,1362,192,63,0.961038961038961
1,14,3.7171,-2.2352,12,2.2171,-2.2352,5,2.0,5,,1363,196,58,0.9641311069882499
