start_id,step_id,pose_x,pose_y,selected_candidate_id,selected_x,selected_y,information_gain,score,newly_known_cells,failure,known_free,occupied,unknown,known_ratio
8,0,4.4,0.0,18,4.4,-1.5,110,107.0,110,,355,51,1211,0.2510822510822511
8,1,4.4,-1.5,14,3.101,-2.25,57,54.0,57,,400,63,1154,0.28633271490414347
8,2,3.101,-2.25,14,1.802,-3.0,118,115.0,118,,514,67,1036,0.3593073593073593
8,3,1.802,-3.0,9,0.7413,-1.9393,133,130.0,133,,635,79,903,0.44155844155844154
8,4,0.7413,-1.9393,7,0.3531,-0.4904,70,67.0,70,,688,96,833,0.48484848484848486
8,5,0.3531,-0.4904,4,1.1031,0.8086,49,46.0,49,,735,98,784,0.5151515151515151
8,6,1.1031,0.8086,7,0.7149,2.2575,125,122.0,125,,836,122,659,0.5924551638837353
8,7,0.7149,2.2575,10,-0.5841,3.0075,46,43.0,46,,875,129,613,0.6209029066171924
8,8,-0.5841,3.0075,13,-2.033,2.6193,119,116.0,119,,986,137,494,0.6944959802102659
8,9,-2.033,2.6193,14,-3.332,1.8693,136,133.0,136,,1111,148,358,0.7786023500309215
8,10,-3.332,1.8693,17,-3.7202,0.4204,102,99.0,102,,1204,157,256,0.8416821273964131
8,11,-3.7202,0.4204,18,-3.7202,-1.0796,99,96.0,99,,1297,163,157,0.9029066171923315
8,12,-3.7202,-1.0796,17,-4.1084,-2.5285,39,36.0,39,,1316,183,118,0.9270253555967841
8,13,-4.1084,-2.5285,0,-2.6084,-2.5285,5,2.0,5,,1317,187,113,0.930117501546073
8,14,-2.6084,-2.5285,11,-4.0573,-2.1403,1,-2.0,1,,1317,188,112,0.9307359307359307
8,15,-4.0573,-2.1403,,,,0,0,0,no_positive_gain_candidate,1317,188,112,0.9307359307359307
