step_id,pose_x,pose_y,pose_z,yaw,point_count,finite_point_ratio,occupied_cells,free_cells,unknown_cells,known_cells,known_ratio,new_known_cells,observed_count_sum,map_min_x,map_max_x,map_min_y,map_max_y,failure_reason
0,0.25,-6.0,1.2,0.0,1026,1.0,121,2110,6985,2231,0.24207899,2231,70259,-12.75,11.25,-18.0,6.0,
1,1.25,-6.0,1.2,0.0,1044,1.0,124,2918,6174,3042,0.33007812,811,142669,-12.75,11.25,-18.0,6.0,
2,1.25,-5.0,1.2,1.570796,1053,1.0,124,3120,5972,3244,0.35199653,202,209145,-12.75,11.25,-18.0,6.0,
3,1.25,-4.0,1.2,1.570796,1062,1.0,124,3422,5670,3546,0.38476562,302,269562,-12.75,11.25,-18.0,6.0,
4,0.25,-4.0,1.2,3.141593,1080,1.0,124,3682,5410,3806,0.41297743,260,330664,-12.75,11.25,-18.0,6.0,
5,0.25,-3.0,1.2,1.570796,1071,1.0,124,3824,5268,3948,0.42838542,142,383642,-12.75,11.25,-18.0,6.0,
6,1.25,-3.0,1.2,0.0,1089,1.0,124,3959,5133,4083,0.44303385,135,439452,-12.75,11.25,-18.0,6.0,
7,2.25,-3.0,1.2,0.0,1062,1.0,124,4133,4959,4257,0.46191406,174,495546,-12.75,11.25,-18.0,6.0,
8,2.25,-4.0,1.2,-1.570796,1026,1.0,124,4162,4930,4286,0.46506076,29,554754,-12.75,11.25,-18.0,6.0,
9,3.25,-4.0,1.2,0.0,1026,1.0,124,4305,4787,4429,0.48057726,143,616947,-12.75,11.25,-18.0,6.0,
